,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
8425,8425,8425,Influencia de los factores meteorológicos y contaminantes del aire en casos de bronquiolitis grave en el área metropolitana de Barcelona: estudio piloto,16.998419,-1.8189362,2019-06-18,,"Huijskens, Elisabeth G.W.; van Erkel, Adriana J.M.; Peeters, Marcel F.; Rossen, John W.A.",J Clin Virol,532,4
8752,8752,8752,Cooperación entre salud pública y atención clínica en un contexto de cambio de la utilización del sistema sanitario,17.116306,-1.6809946,2009-01-06,"The hybridoma technology for production of monoclonal antibodies circumvents many of the constraints associated with the use of conventional antisera, and consequently broadens the areas of application of antibodies in animal sciences. In the present review, the potential usefulness of monoclonal antibodies in animal production - with emphasis on reproduction - is discussed, including the inherent limitations of the current technology and the improvements that can be foreseen within the next few years. Because of their unique specificity and the fact that they can be produced in virtually unlimited quantities, monoclonal antibodies are an important tool in diagnostics. However, the use of these antibodies does not always guarantee absolute specificity, and the low affinity of many monoclonal antibodies will impose a number of limitations on their use. Monoclonal antibodies can also be used to optimize physiological processes such as growth and reproduction. For this, homologous antibodies will probably offer several advantages over their murine counterparts in terms of effectiveness for passive immunization. Some success has already been achieved in the development of monoclonal antibodies from livestock species. Finally, it is shown that monoclonal antibodies are becoming extremely powerful research tools.","Booman, P.",Livest,532,4
10575,10575,10575,Esperanza de vida al nacer. Contribuciones y desafíos de la microbiología,16.78092,-1.6834011,2020-04-27,"Rural amenity migration, or the relocation for quality of life purposes as opposed to monetary enhancement, has been occurring for decades and has been particularly pronounced in the American West where the phenomenon peaked in the 1990s. Researchers have illustrated that some places are more attractive for migrants than others and that certain regional amenities hold considerable influence on where migrants relocate. Increased migration levels typically result in increased economic growth indicators, making amenity migration an attractive rural development strategy. But comprehensive econometric analysis focused on amenity migration in the American West has been lacking. To address this, we conducted an econometric analysis of attributes that influenced migration to rural Western counties from 1980 to 2010. Over 20 potential amenity supply categories were collated for 356 rural counties from 11 Western states, with a focus on public lands. Descriptive statistics and OLS regressions were estimated and interpreted. Traditional amenities of climate, water area, and regional access were highly associated with migration levels, while designated natural amenities of Wilderness and National Monuments were the most influential public lands for migration to rural Western counties. Farming and oil and gas dependency were negatively associated with migration levels. Increasing the amount of protected areas, and branding campaigns based on natural amenities, can be a critical development strategy for rural communities.","Hjerpe, Evan; Hussain, Anwar; Holmes, Thomas",Environ Manage,532,4
17652,17652,17652,Ausência de Aerosclerose na Doença de Chagas: O Papel da Transialidase do Trypanosoma Cruzi,17.062971,-1.8830118,2020-12-01,"Sialoperoxidase and myeloperoxidase are the two main peroxidase enzymes found in the oral cavity. Sialoperoxidase is present in salivary secretions and in the biofilms that line the oral surfaces, while myeloperoxidase is abundant in the dento-gingival sulcus area. In the presence of hydrogen peroxide (H(2)O(2)), oral peroxidases catalyze the oxidation of the pseudohalide anion thiocyanate (SCN(−)) to hypothiocyanite (OSCN(−)), a strong oxidant that serves an antimicrobial role. Furthermore, oral peroxidases consume bacteria-produced H(2)O(2) and could help inactivate toxic carcinogenic and genotoxic substances. Numerous in vitro studies have reported the antibacterial, antimycotic and antiviral role of peroxidases, suggesting possible applications in oral therapy. However, the use of oral hygiene products incorporating peroxidase systems has not yet been shown to be beneficial for the treatment or prevention of oral infections. This paradox reflects our incomplete knowledge of the physiological role of peroxidases in a complex environment, such as the oral region. While hygiene is crucial for restoring oral microbiota to a symbiotic state, there are no data to suggest that the addition of a peroxidase per se can create a dysbiotic state. Recent investigations have associated the presence of peroxidase activity with gram-positive cocci microbial flora, and its insufficiency with dysbiosis has been linked to pathologies, such as caries, periodontitis or infections of the oral mucosa. Therefore, oxidants generated by oral peroxidases appear to be an essential ecological determinant for oral health through the selection of a symbiotic microbiota capable of resisting oxidative stress. The objective of the present review was to update the current knowledge of the physiological aspects and applications of oral peroxidases in clinical practice.","Courtois, Philippe",Mol Med Rep,532,4
17850,17850,17850,Síndrome Hiperinflamatória como Mecanismo de Lesão Cardíaca,16.674585,-1.6993037,2021-03-03,"BACKGROUND: Perinatal inflammation combined with hypoxia–ischemia (HI) exacerbates injury in the developing brain. Therapeutic hypothermia (HT) is standard care for neonatal encephalopathy; however, its benefit in inflammation-sensitized HI (IS-HI) is unknown. METHODS: Twelve newborn piglets received a 2 µg/kg bolus and 1 µg/kg/h infusion over 52 h of Escherichia coli lipopolysaccharide (LPS). HI was induced 4 h after LPS bolus. After HI, piglets were randomized to HT (33.5 °C 1–25 h after HI, n = 6) or normothermia (NT, n = 6). Amplitude-integrated electroencephalogram (aEEG) was recorded and magnetic resonance spectroscopy (MRS) was acquired at 24 and 48 h. At 48 h, terminal deoxynucleotidyl transferase dUTP nick-end labeling (TUNEL)-positive brain cell death, microglial activation/proliferation, astrogliosis, and cleaved caspase-3 (CC3) were quantified. Hematology and plasma cytokines were serially measured. RESULTS: Two HT piglets died. aEEG recovery, thalamic and white matter MRS lactate/N-acetylaspartate, and TUNEL-positive cell death were similar between groups. HT increased microglial activation in the caudate, but had no other effect on glial activation/proliferation. HT reduced CC3 overall. HT suppressed platelet count and attenuated leukocytosis. Cytokine profile was unchanged by HT. CONCLUSIONS: We did not observe protection with HT in this piglet IS-HI model based on aEEG, MRS, and immunohistochemistry. Immunosuppressive effects of HT and countering neuroinflammation by LPS may contribute to the observed lack of HT efficacy. Other immunomodulatory strategies may be more effective in IS-HI. IMPACT: Acute infection/inflammation is known to exacerbate perinatal brain injury and can worsen the outcomes in neonatal encephalopathy. Therapeutic HT is the current standard of care for all infants with NE, but the benefit in infants with coinfection/inflammation is unknown. In a piglet model of inflammation (LPS)-sensitized HI, we observed no evidence of neuroprotection with cooling for 24 h, based on our primary outcome measures: aEEG, MRS Lac/NAA, and histological brain cell death. Additional neuroprotective agents, with beneficial immunomodulatory effects, require exploration in IS-HI models.","Martinello, Kathryn A.; Meehan, Christopher; Avdic-Belltheus, Adnan; Lingam, Ingran; Mutshiya, Tatenda; Yang, Qin; Akin, Mustafa Ali; Price, David; Sokolska, Magdalena; Bainbridge, Alan; Hristova, Mariya; Tachtsidis, Ilias; Tann, Cally J.; Peebles, Donald; Hagberg, Henrik; Wolfs, Tim G. A. M.; Klein, Nigel; Kramer, Boris W.; Fleiss, Bobbi; Gressens, Pierre; Golay, Xavier; Robertson, Nicola J.",Pediatr Res,532,4
20056,20056,20056,Mapa de la atención a las infecciones de transmisión sexual en los servicios de urgencias españoles,16.975292,-1.7898382,2021-06-01,"Antibiotic resistance genes (ARGs) are widespread among bacteria. However, not all ARGs pose serious threats to public health, highlighting the importance of identifying those that are high-risk. Here, we developed an ‘omics-based’ framework to evaluate ARG risk considering human-associated-enrichment, gene mobility, and host pathogenicity. Our framework classifies human-associated, mobile ARGs (3.6% of all ARGs) as the highest risk, which we further differentiate as ‘current threats’ (Rank I; 3%) - already present among pathogens - and ‘future threats’ (Rank II; 0.6%) - novel resistance emerging from non-pathogens. Our framework identified 73 ‘current threat’ ARG families. Of these, 35 were among the 37 high-risk ARGs proposed by the World Health Organization and other literature; the remaining 38 were significantly enriched in hospital plasmids. By evaluating all pathogen genomes released since framework construction, we confirmed that ARGs that recently transferred into pathogens were significantly enriched in Rank II (‘future threats’). Lastly, we applied the framework to gut microbiome genomes from fecal microbiota transplantation donors. We found that although ARGs were widespread (73% of genomes), only 8.9% of genomes contained high-risk ARGs. Our framework provides an easy-to-implement approach to identify current and future antimicrobial resistance threats, with potential clinical applications including reducing risk of microbiome-based interventions.","Zhang, An-Ni; Gaston, Jeffry M.; Dai, Chengzhen L.; Zhao, Shijie; Poyet, Mathilde; Groussin, Mathieu; Yin, Xiaole; Li, Li-Guan; van Loosdrecht, Mark C. M.; Topp, Edward; Gillings, Michael R.; Hanage, William P.; Tiedje, James M.; Moniz, Katya; Alm, Eric J.; Zhang, Tong",Nat Commun,532,4
20136,20136,20136,"Prioritization of risk situations in neuro-urology: guidelines from Association Française d’Urologie (AFU), Association Francophone Internationale des Groupes d’Animation de la Paraplégie (A.F.I.G.A.P.), Groupe de Neuro-urologie de Langue Française (GENULF), Société Française de Médecine Physique et de Réadaptation (SOFMER) and Société Interdisciplinaire Francophone d’UroDynamique et de Pelvi-Périnéologie (SIFUD-PP)",16.703959,-1.838775,2021-08-17,,"Reis, Henning; Gaisa, Nadine T.",Pathologe,532,4
26618,26618,26618,Ziekten en afwijkingen die de zwangerschap compliceren,16.750275,-1.7313783,2014-07-02,"Because punctuated reality is episodic—waves come and go—the social structure of modern life is also episodic. Social groups form spontaneously and often without obvious reasons. Flashmobs ravage innocent bystanders, online raves spring up and just as quickly die out, protesters flair-up on Wall Street and then disappear. Why? These bursts occur because of the increasingly connected super hive we call the Internet. More importantly, they rise and fall because of how society is wired together. Ever-tightening self-organization and the resulting hub-like structure of society magnifies the impact and spreads these events like a wildfire. If you want to control the Internet animali, seek out and control the center.","Lewis, Ted G.",Book of Extremes,532,4
28793,28793,28793,Essai d’éradication de la filariose de Bancroft,16.787674,-2.0007827,2008-07-02,"There are several concepts whose interpretation and meaning is defined through their binary opposition with other opposite concepts. To this end, in this paper we elaborate on the idea of leveraging the available antonyms of the original query terms for eventually producing an answer which provides a better overview of the related conceptual and information space. Specifically, we sketch a method in which antonyms are used for producing dual queries, which can in turn be exploited for defining a multi-dimensional topical relevance based on the antonyms. We motivate this direction by providing examples and by conducting a preliminary evaluation that shows its importance to specific users.","Papadakos, Panagiotis; Kalipolitis, Orfeas",Advances in Information Retrieval,532,4
29430,29430,29430,"Rinitis: concepto, clasificación, diagnóstico y tratamiento",16.984795,-1.6098559,2012-12-21,"Since viral hepatitis, as discussed in preceding chapters, has emerged as a major public health problem throughout the world affecting several hundreds of millions of people, and since no effective chemotherapy has been developed so far that can completely treat viral hepatitis, attempts are continued to find potential drugs against this disease. In this respect, the development of medicinal chemistry has been rewarding, as it covers all aspects of drug design such as recognition of important drug targets, computational chemistry, optimization of drug activity based on their structure-activity relationship, finding the three-dimensional structures of compounds by X-ray crystallography, NMR, molecular dynamics, and then synthesis of the drugs and evaluating their activity. The present chapter, thus, presents such medicinal chemistry study on anti-HAV, anti-HDV, and anti-HEV drugs.","Gupta, Satya P.",Studies on Hepatitis Viruses,532,4
29557,29557,29557,Pathologies respiratoires,16.757189,-1.712294,2011-11-21,,"Poitevin, Bernard; Sarembaud, Alain",,532,4
29763,29763,29763,"Bacteriología, virosis y micosis. Utilización de antibióticos",16.812601,-1.8586347,2012-12-21,,"van der Woerdt, Alexandra","Ferrets, Rabbits, and Rodents",532,4
31242,31242,31242,Buiten de gebaande paden,17.07652,-1.6744275,2020-04-10,,,Respirology,532,4
34199,34199,34199,"Documento de consenso de la Sociedad Española de Medicina Intensiva, Crítica, y Unidades Coronarias (SEMICYUC), la Sociedad Española de Otorrinolaringología y Cirugía de Cabeza y Cuello (SEORL-CCC) y la Sociedad Española de Anestesiología y Reanimación (SEDAR) sobre la traqueotomía en pacientes con COVID-19()",16.96766,-1.7272717,2020-06-10,The Random House Dictionary of the English Language defines residual as “that which remains.”,"Dennis, Marguerite J.",,532,4
38036,38036,38036,Corona: de koe in de kont gekeken,16.693954,-1.7872858,2020-08-13,,,Zorgvisie,532,4
40107,40107,40107,Platform voor mensen met klachten na corona,16.67364,-1.8968532,2020-10-07,"In the face of a failure of national officials to deal effectively with Covid-19, local health care leaders at a community-based primary care center acted to revise care delivery practices and develop communication strategies to reach an at-risk population.","Fernandes, Luisa da Matta Machado; Pacheco, Rafaela Alves; Fernandez, Michelle",NEJM Catal Innov Care Deliv,532,16
